Epoch,Train Loss,Val Loss,Mean Pixel Accuracy,IoU,Dice Score,Per-class Accuracy
1,0.883210322686604,0.8471273912323846,"tensor(0.8852, device='cuda:0')","[tensor(0.8865, device='cuda:0'), tensor(0., device='cuda:0'), tensor(0.0100, device='cuda:0'), tensor(0., device='cuda:0')]","[tensor(0.9397, device='cuda:0'), tensor(0., device='cuda:0'), tensor(0.0198, device='cuda:0'), tensor(0., device='cuda:0')]","[tensor(0.9008, device='cuda:0'), tensor(187.0726, device='cuda:0'), tensor(153.6575, device='cuda:0'), tensor(738.8545, device='cuda:0')]"
2,2.436751730101449,0.7768096460236443,"tensor(0.9844, device='cuda:0')","[tensor(0.9844, device='cuda:0'), tensor(0., device='cuda:0'), tensor(0., device='cuda:0'), tensor(0., device='cuda:0')]","[tensor(0.9921, device='cuda:0'), tensor(0., device='cuda:0'), tensor(0., device='cuda:0'), tensor(0., device='cuda:0')]","[tensor(1., device='cuda:0'), tensor(187.0726, device='cuda:0'), tensor(170.1885, device='cuda:0'), tensor(738.8545, device='cuda:0')]"
3,0.777399230003357,0.72275400824017,"tensor(0.9844, device='cuda:0')","[tensor(0.9844, device='cuda:0'), tensor(0., device='cuda:0'), tensor(0., device='cuda:0'), tensor(0., device='cuda:0')]","[tensor(0.9921, device='cuda:0'), tensor(0., device='cuda:0'), tensor(0., device='cuda:0'), tensor(0., device='cuda:0')]","[tensor(1., device='cuda:0'), tensor(187.0726, device='cuda:0'), tensor(170.1885, device='cuda:0'), tensor(738.8545, device='cuda:0')]"
4,0.7498319455555507,0.7353885041342841,"tensor(0.9844, device='cuda:0')","[tensor(0.9844, device='cuda:0'), tensor(0., device='cuda:0'), tensor(0., device='cuda:0'), tensor(0., device='cuda:0')]","[tensor(0.9921, device='cuda:0'), tensor(0., device='cuda:0'), tensor(0., device='cuda:0'), tensor(0., device='cuda:0')]","[tensor(1., device='cuda:0'), tensor(187.0726, device='cuda:0'), tensor(170.1885, device='cuda:0'), tensor(738.8545, device='cuda:0')]"
5,0.7481485537120274,0.7094606823391385,"tensor(0.9844, device='cuda:0')","[tensor(0.9844, device='cuda:0'), tensor(0., device='cuda:0'), tensor(0., device='cuda:0'), tensor(0., device='cuda:0')]","[tensor(0.9921, device='cuda:0'), tensor(0., device='cuda:0'), tensor(0., device='cuda:0'), tensor(0., device='cuda:0')]","[tensor(1., device='cuda:0'), tensor(187.0726, device='cuda:0'), tensor(170.1885, device='cuda:0'), tensor(738.8545, device='cuda:0')]"
6,0.7243439129420689,0.6841484506924947,"tensor(0.9844, device='cuda:0')","[tensor(0.9844, device='cuda:0'), tensor(0., device='cuda:0'), tensor(0., device='cuda:0'), tensor(0., device='cuda:0')]","[tensor(0.9921, device='cuda:0'), tensor(0., device='cuda:0'), tensor(0., device='cuda:0'), tensor(0., device='cuda:0')]","[tensor(1., device='cuda:0'), tensor(187.0726, device='cuda:0'), tensor(170.1885, device='cuda:0'), tensor(738.8545, device='cuda:0')]"
7,0.723745437179293,0.728625562455919,"tensor(0.9844, device='cuda:0')","[tensor(0.9844, device='cuda:0'), tensor(0., device='cuda:0'), tensor(0., device='cuda:0'), tensor(0., device='cuda:0')]","[tensor(0.9921, device='cuda:0'), tensor(0., device='cuda:0'), tensor(0., device='cuda:0'), tensor(0., device='cuda:0')]","[tensor(1., device='cuda:0'), tensor(187.0726, device='cuda:0'), tensor(170.1885, device='cuda:0'), tensor(738.8545, device='cuda:0')]"
8,0.7164390853473118,0.6707573533058167,"tensor(0.9844, device='cuda:0')","[tensor(0.9844, device='cuda:0'), tensor(0., device='cuda:0'), tensor(0., device='cuda:0'), tensor(0., device='cuda:0')]","[tensor(0.9921, device='cuda:0'), tensor(0., device='cuda:0'), tensor(0., device='cuda:0'), tensor(0., device='cuda:0')]","[tensor(1., device='cuda:0'), tensor(187.0726, device='cuda:0'), tensor(170.1885, device='cuda:0'), tensor(738.8545, device='cuda:0')]"
9,0.7010366712297712,0.7340238756603665,"tensor(0.9844, device='cuda:0')","[tensor(0.9844, device='cuda:0'), tensor(0., device='cuda:0'), tensor(0., device='cuda:0'), tensor(0., device='cuda:0')]","[tensor(0.9921, device='cuda:0'), tensor(0., device='cuda:0'), tensor(0., device='cuda:0'), tensor(0., device='cuda:0')]","[tensor(1., device='cuda:0'), tensor(187.0726, device='cuda:0'), tensor(170.1885, device='cuda:0'), tensor(738.8545, device='cuda:0')]"
10,0.6935306940759931,0.6752184066507552,"tensor(0.9844, device='cuda:0')","[tensor(0.9844, device='cuda:0'), tensor(0., device='cuda:0'), tensor(0., device='cuda:0'), tensor(0., device='cuda:0')]","[tensor(0.9921, device='cuda:0'), tensor(0., device='cuda:0'), tensor(0., device='cuda:0'), tensor(0., device='cuda:0')]","[tensor(1., device='cuda:0'), tensor(187.0726, device='cuda:0'), tensor(170.1885, device='cuda:0'), tensor(738.8545, device='cuda:0')]"
11,0.692380554335458,0.6627811193466187,"tensor(0.9844, device='cuda:0')","[tensor(0.9844, device='cuda:0'), tensor(0., device='cuda:0'), tensor(0., device='cuda:0'), tensor(0., device='cuda:0')]","[tensor(0.9921, device='cuda:0'), tensor(0., device='cuda:0'), tensor(0., device='cuda:0'), tensor(0., device='cuda:0')]","[tensor(1., device='cuda:0'), tensor(187.0726, device='cuda:0'), tensor(170.1885, device='cuda:0'), tensor(738.8545, device='cuda:0')]"
12,0.6875494812216078,0.6548059152232276,"tensor(0.9844, device='cuda:0')","[tensor(0.9844, device='cuda:0'), tensor(0., device='cuda:0'), tensor(0., device='cuda:0'), tensor(0., device='cuda:0')]","[tensor(0.9921, device='cuda:0'), tensor(0., device='cuda:0'), tensor(0., device='cuda:0'), tensor(0., device='cuda:0')]","[tensor(1., device='cuda:0'), tensor(187.0726, device='cuda:0'), tensor(170.1885, device='cuda:0'), tensor(738.8545, device='cuda:0')]"
13,0.6970546100820814,0.6903540359603034,"tensor(0.9844, device='cuda:0')","[tensor(0.9844, device='cuda:0'), tensor(0., device='cuda:0'), tensor(0., device='cuda:0'), tensor(0., device='cuda:0')]","[tensor(0.9921, device='cuda:0'), tensor(0., device='cuda:0'), tensor(0., device='cuda:0'), tensor(0., device='cuda:0')]","[tensor(1., device='cuda:0'), tensor(187.0726, device='cuda:0'), tensor(170.1885, device='cuda:0'), tensor(738.8545, device='cuda:0')]"
14,0.6920987265450614,0.6840579046143426,"tensor(0.9844, device='cuda:0')","[tensor(0.9844, device='cuda:0'), tensor(0., device='cuda:0'), tensor(0., device='cuda:0'), tensor(0., device='cuda:0')]","[tensor(0.9921, device='cuda:0'), tensor(0., device='cuda:0'), tensor(0., device='cuda:0'), tensor(0., device='cuda:0')]","[tensor(1., device='cuda:0'), tensor(187.0726, device='cuda:0'), tensor(170.1885, device='cuda:0'), tensor(738.8545, device='cuda:0')]"
15,0.7017978634153094,0.682781865199407,"tensor(0.9844, device='cuda:0')","[tensor(0.9844, device='cuda:0'), tensor(0., device='cuda:0'), tensor(0., device='cuda:0'), tensor(0., device='cuda:0')]","[tensor(0.9921, device='cuda:0'), tensor(0., device='cuda:0'), tensor(0., device='cuda:0'), tensor(0., device='cuda:0')]","[tensor(1., device='cuda:0'), tensor(187.0726, device='cuda:0'), tensor(170.1885, device='cuda:0'), tensor(738.8545, device='cuda:0')]"
16,0.6951539175851005,0.6483117805586921,"tensor(0.9844, device='cuda:0')","[tensor(0.9844, device='cuda:0'), tensor(0., device='cuda:0'), tensor(0., device='cuda:0'), tensor(0., device='cuda:0')]","[tensor(0.9921, device='cuda:0'), tensor(0., device='cuda:0'), tensor(0., device='cuda:0'), tensor(0., device='cuda:0')]","[tensor(1., device='cuda:0'), tensor(187.0726, device='cuda:0'), tensor(170.1885, device='cuda:0'), tensor(738.8545, device='cuda:0')]"
17,0.6848746120929718,0.7465864088800218,"tensor(0.9844, device='cuda:0')","[tensor(0.9844, device='cuda:0'), tensor(0., device='cuda:0'), tensor(0., device='cuda:0'), tensor(0., device='cuda:0')]","[tensor(0.9921, device='cuda:0'), tensor(0., device='cuda:0'), tensor(0., device='cuda:0'), tensor(0., device='cuda:0')]","[tensor(1., device='cuda:0'), tensor(187.0726, device='cuda:0'), tensor(170.1885, device='cuda:0'), tensor(738.8545, device='cuda:0')]"
18,0.6820214399269648,0.6979505287276374,"tensor(0.9844, device='cuda:0')","[tensor(0.9844, device='cuda:0'), tensor(0., device='cuda:0'), tensor(0., device='cuda:0'), tensor(0., device='cuda:0')]","[tensor(0.9921, device='cuda:0'), tensor(0., device='cuda:0'), tensor(0., device='cuda:0'), tensor(0., device='cuda:0')]","[tensor(1., device='cuda:0'), tensor(187.0726, device='cuda:0'), tensor(170.1885, device='cuda:0'), tensor(738.8545, device='cuda:0')]"
19,0.6776030029569353,0.6672578553358713,"tensor(0.9844, device='cuda:0')","[tensor(0.9844, device='cuda:0'), tensor(0., device='cuda:0'), tensor(0., device='cuda:0'), tensor(0., device='cuda:0')]","[tensor(0.9921, device='cuda:0'), tensor(0., device='cuda:0'), tensor(0., device='cuda:0'), tensor(0., device='cuda:0')]","[tensor(1., device='cuda:0'), tensor(187.0726, device='cuda:0'), tensor(170.1885, device='cuda:0'), tensor(738.8545, device='cuda:0')]"
20,0.6720324984618595,0.6520950231287215,"tensor(0.9844, device='cuda:0')","[tensor(0.9844, device='cuda:0'), tensor(0., device='cuda:0'), tensor(0., device='cuda:0'), tensor(0., device='cuda:0')]","[tensor(0.9921, device='cuda:0'), tensor(0., device='cuda:0'), tensor(0., device='cuda:0'), tensor(0., device='cuda:0')]","[tensor(1., device='cuda:0'), tensor(187.0726, device='cuda:0'), tensor(170.1885, device='cuda:0'), tensor(738.8545, device='cuda:0')]"
21,0.6828183276312692,0.6536704831653171,"tensor(0.9844, device='cuda:0')","[tensor(0.9844, device='cuda:0'), tensor(0., device='cuda:0'), tensor(0., device='cuda:0'), tensor(0., device='cuda:0')]","[tensor(0.9921, device='cuda:0'), tensor(0., device='cuda:0'), tensor(0., device='cuda:0'), tensor(0., device='cuda:0')]","[tensor(1., device='cuda:0'), tensor(187.0726, device='cuda:0'), tensor(170.1885, device='cuda:0'), tensor(738.8545, device='cuda:0')]"
22,0.6822794505528041,0.6282632384035323,"tensor(0.9844, device='cuda:0')","[tensor(0.9844, device='cuda:0'), tensor(0., device='cuda:0'), tensor(0., device='cuda:0'), tensor(0., device='cuda:0')]","[tensor(0.9921, device='cuda:0'), tensor(0., device='cuda:0'), tensor(0., device='cuda:0'), tensor(0., device='cuda:0')]","[tensor(1., device='cuda:0'), tensor(187.0726, device='cuda:0'), tensor(170.1885, device='cuda:0'), tensor(738.8545, device='cuda:0')]"
23,0.671327018737793,0.7060323556264242,"tensor(0.9844, device='cuda:0')","[tensor(0.9844, device='cuda:0'), tensor(0., device='cuda:0'), tensor(0., device='cuda:0'), tensor(0., device='cuda:0')]","[tensor(0.9921, device='cuda:0'), tensor(0., device='cuda:0'), tensor(0., device='cuda:0'), tensor(0., device='cuda:0')]","[tensor(1., device='cuda:0'), tensor(187.0726, device='cuda:0'), tensor(170.1885, device='cuda:0'), tensor(738.8545, device='cuda:0')]"
24,0.6747490218707494,0.6526891953415341,"tensor(0.9843, device='cuda:0')","[tensor(0.9843, device='cuda:0'), tensor(0., device='cuda:0'), tensor(0.0009, device='cuda:0'), tensor(0., device='cuda:0')]","[tensor(0.9921, device='cuda:0'), tensor(0., device='cuda:0'), tensor(0.0018, device='cuda:0'), tensor(0., device='cuda:0')]","[tensor(0.9999, device='cuda:0'), tensor(187.0726, device='cuda:0'), tensor(170.1758, device='cuda:0'), tensor(738.8502, device='cuda:0')]"
25,0.7048024875777108,0.7643200589550866,"tensor(0.9844, device='cuda:0')","[tensor(0.9844, device='cuda:0'), tensor(0., device='cuda:0'), tensor(0., device='cuda:0'), tensor(0., device='cuda:0')]","[tensor(0.9921, device='cuda:0'), tensor(0., device='cuda:0'), tensor(0., device='cuda:0'), tensor(0., device='cuda:0')]","[tensor(1., device='cuda:0'), tensor(187.0726, device='cuda:0'), tensor(170.1885, device='cuda:0'), tensor(738.8545, device='cuda:0')]"
26,0.6707951281751905,0.6279820932282342,"tensor(0.9844, device='cuda:0')","[tensor(0.9844, device='cuda:0'), tensor(0., device='cuda:0'), tensor(0., device='cuda:0'), tensor(0., device='cuda:0')]","[tensor(0.9921, device='cuda:0'), tensor(0., device='cuda:0'), tensor(0., device='cuda:0'), tensor(0., device='cuda:0')]","[tensor(1., device='cuda:0'), tensor(187.0726, device='cuda:0'), tensor(170.1885, device='cuda:0'), tensor(738.8545, device='cuda:0')]"
27,0.6778145815644946,0.632220533159044,"tensor(0.9844, device='cuda:0')","[tensor(0.9844, device='cuda:0'), tensor(0., device='cuda:0'), tensor(0., device='cuda:0'), tensor(0., device='cuda:0')]","[tensor(0.9921, device='cuda:0'), tensor(0., device='cuda:0'), tensor(0., device='cuda:0'), tensor(0., device='cuda:0')]","[tensor(1., device='cuda:0'), tensor(187.0726, device='cuda:0'), tensor(170.1885, device='cuda:0'), tensor(738.8545, device='cuda:0')]"
28,0.6639064167227063,0.6845011181301541,"tensor(0.9844, device='cuda:0')","[tensor(0.9844, device='cuda:0'), tensor(0., device='cuda:0'), tensor(0., device='cuda:0'), tensor(0., device='cuda:0')]","[tensor(0.9921, device='cuda:0'), tensor(0., device='cuda:0'), tensor(0., device='cuda:0'), tensor(0., device='cuda:0')]","[tensor(1., device='cuda:0'), tensor(187.0726, device='cuda:0'), tensor(170.1885, device='cuda:0'), tensor(738.8545, device='cuda:0')]"
29,0.6716747513839176,0.6874575681156583,"tensor(0.9844, device='cuda:0')","[tensor(0.9844, device='cuda:0'), tensor(0., device='cuda:0'), tensor(0., device='cuda:0'), tensor(0., device='cuda:0')]","[tensor(0.9921, device='cuda:0'), tensor(0., device='cuda:0'), tensor(0., device='cuda:0'), tensor(0., device='cuda:0')]","[tensor(1., device='cuda:0'), tensor(187.0726, device='cuda:0'), tensor(170.1885, device='cuda:0'), tensor(738.8545, device='cuda:0')]"
30,0.6695593186787197,0.6265633205572764,"tensor(0.9844, device='cuda:0')","[tensor(0.9844, device='cuda:0'), tensor(0., device='cuda:0'), tensor(0., device='cuda:0'), tensor(0., device='cuda:0')]","[tensor(0.9921, device='cuda:0'), tensor(0., device='cuda:0'), tensor(0., device='cuda:0'), tensor(0., device='cuda:0')]","[tensor(1., device='cuda:0'), tensor(187.0726, device='cuda:0'), tensor(170.1885, device='cuda:0'), tensor(738.8545, device='cuda:0')]"
